Date,Price,Open,High,Low,Change %
10/16/2016,-0.854,-0.854,-0.800,-0.871,-0.35%
10/09/2016,-0.857,-0.835,-0.817,-0.882,1.66%
10/02/2016,-0.843,-0.780,-0.769,-0.845,7.39%
09/25/2016,-0.785,-0.729,-0.724,-0.788,7.68%
09/18/2016,-0.729,-0.732,-0.718,-0.733,-0.41%
09/11/2016,-0.732,-0.726,-0.720,-0.737,1.10%
09/04/2016,-0.724,-0.555,-0.375,-0.829,-8.59%
08/28/2016,-0.792,-0.781,-0.781,-0.849,-1.98%
08/21/2016,-0.808,-0.792,-0.769,-0.808,2.15%
08/14/2016,-0.791,-0.780,-0.761,-0.813,0.51%
08/07/2016,-0.787,-0.763,-0.692,-0.803,11.63%
07/31/2016,-0.705,-0.742,-0.687,-0.770,-4.34%
07/24/2016,-0.737,-0.748,-0.728,-0.796,0.68%
07/17/2016,-0.732,-0.752,-0.718,-0.813,-0.54%
07/10/2016,-0.736,-0.746,-0.717,-0.844,0.55%
07/03/2016,-0.732,-0.674,-0.555,-0.755,31.89%
06/26/2016,-0.555,-0.579,-0.549,-0.651,-3.98%
06/19/2016,-0.578,-0.549,-0.538,-0.645,-1.20%
06/12/2016,-0.585,-0.553,-0.528,-0.633,-5.65%
06/05/2016,-0.620,-0.590,-0.550,-0.630,12.52%
05/29/2016,-0.551,-0.545,-0.544,-0.591,1.10%
05/22/2016,-0.545,-0.568,-0.518,-0.584,-1.09%
05/15/2016,-0.551,-0.531,-0.500,-0.564,2.99%
05/08/2016,-0.535,-0.545,-0.516,-0.609,-1.65%
05/01/2016,-0.544,-0.615,-0.540,-0.615,-2.68%
04/24/2016,-0.559,-0.538,-0.525,-0.629,3.90%
04/17/2016,-0.538,-0.602,-0.509,-0.618,-10.48%
04/10/2016,-0.601,-0.600,-0.557,-0.634,0.00%
04/03/2016,-0.601,-0.597,-0.474,-0.624,7.32%
03/27/2016,-0.560,-0.547,-0.518,-0.602,5.46%
03/20/2016,-0.531,-0.529,-0.519,-0.607,-0.75%
03/13/2016,-0.535,-0.552,-0.491,-0.588,1.71%
03/06/2016,-0.526,-0.544,-0.499,-0.589,-2.95%
02/28/2016,-0.542,-0.544,-0.532,-0.583,-3.21%
02/21/2016,-0.560,-0.440,-0.429,-0.575,27.56%
02/14/2016,-0.439,-0.374,-0.352,-0.549,18.97%
02/07/2016,-0.369,-0.384,-0.349,-0.410,-9.11%
01/31/2016,-0.406,-0.397,-0.369,-0.415,2.78%
01/24/2016,-0.395,-0.497,-0.391,-0.520,-16.84%
01/17/2016,-0.475,-0.475,-0.407,-0.509,0.42%
01/10/2016,-0.473,-0.576,-0.309,-0.584,-15.54%
01/03/2016,-0.560,-0.533,-0.520,-0.586,-7.28%
12/27/2015,-0.604,-0.486,-0.472,-0.604,27.16%
12/20/2015,-0.475,-0.507,-0.464,-0.533,1.28%
12/13/2015,-0.469,-0.415,-0.409,-0.585,12.47%
12/06/2015,-0.417,-0.291,-0.291,-0.449,48.40%
11/29/2015,-0.281,-0.420,-0.278,-0.439,-28.68%
11/22/2015,-0.394,-0.360,-0.332,-0.424,19.39%
11/15/2015,-0.330,-0.338,-0.325,-0.379,-7.04%
11/08/2015,-0.355,-0.334,-0.253,-0.369,7.58%
11/01/2015,-0.330,-0.291,-0.266,-0.442,-12.00%
10/25/2015,-0.375,-0.341,-0.228,-0.375,53.69%
10/18/2015,-0.244,-0.210,-0.210,-0.340,8.93%
10/11/2015,-0.224,-0.229,-0.182,-0.345,-25.58%
10/04/2015,-0.301,-0.319,-0.300,-0.320,-5.64%
09/27/2015,-0.319,-0.294,-0.293,-0.323,8.87%
09/20/2015,-0.293,-0.303,-0.292,-0.322,-2.98%
09/13/2015,-0.302,-0.298,-0.298,-0.302,-0.98%
09/06/2015,-0.305,-0.213,-0.186,-0.313,39.27%
08/30/2015,-0.219,-0.314,-0.219,-0.319,-25.51%
08/23/2015,-0.294,-0.276,-0.248,-0.332,7.30%
08/16/2015,-0.274,-0.290,-0.231,-0.327,-4.86%
08/09/2015,-0.288,-0.285,-0.284,-0.310,1.41%
08/02/2015,-0.284,-0.284,-0.283,-0.285,0.71%
07/26/2015,-0.282,-0.313,-0.281,-0.365,-14.55%
07/19/2015,-0.330,-0.395,-0.291,-0.395,-1.20%
07/12/2015,-0.334,-0.364,-0.301,-0.410,0.30%
07/05/2015,-0.333,-0.312,-0.288,-0.375,19.35%
06/28/2015,-0.279,-0.251,-0.112,-0.355,149.11%
06/21/2015,-0.112,-0.258,-0.250,-0.258,-56.59%
06/14/2015,-0.258,-0.270,-0.257,-0.272,-4.09%
06/07/2015,-0.269,-0.268,-0.268,-0.270,-1.47%
05/31/2015,-0.273,-0.272,-0.272,-0.273,0.37%
05/24/2015,-0.272,-0.273,-0.271,-0.274,0.00%
05/17/2015,-0.272,-0.382,-0.269,-0.384,-28.23%
05/10/2015,-0.379,-0.376,-0.374,-0.380,1.34%
05/03/2015,-0.374,-0.374,-0.372,-0.375,0.54%
04/26/2015,-0.372,-0.307,-0.301,-0.382,16.25%
04/19/2015,-0.320,-0.307,-0.282,-0.327,3.23%
04/12/2015,-0.310,-0.286,-0.161,-0.322,14.39%
04/05/2015,-0.271,-0.268,-0.230,-0.275,13.87%
03/29/2015,-0.238,-0.248,-0.208,-0.281,-3.64%
03/22/2015,-0.247,-0.238,-0.188,-0.275,-8.18%
03/15/2015,-0.269,-0.271,-0.192,-0.285,11.16%
03/08/2015,-0.242,-0.257,-0.170,-0.284,-8.33%
03/01/2015,-0.264,-0.213,-0.213,-0.282,23.94%
02/22/2015,-0.213,-0.253,-0.199,-0.286,-15.14%
02/15/2015,-0.251,-0.209,-0.200,-0.272,20.67%
02/08/2015,-0.208,-0.207,-0.186,-0.242,5.58%
02/01/2015,-0.197,-0.173,-0.159,-0.220,14.53%
01/25/2015,-0.172,-0.159,-0.149,-0.200,-7.03%
01/18/2015,-0.185,-0.189,-0.152,-0.216,0.00%
01/11/2015,-0.185,-0.143,-0.137,-0.214,23.33%
01/04/2015,-0.150,-0.103,-0.103,-0.168,27.12%
12/28/2014,-0.118,-0.262,-0.118,-0.262,-39.49%
12/21/2014,-0.195,-0.021,-0.021,-0.224,47.73%
12/14/2014,-0.132,-0.178,-0.132,-0.193,-26.67%
12/07/2014,-0.180,-0.137,-0.118,-0.189,38.46%
11/30/2014,-0.130,-0.084,-0.073,-0.188,51.16%
11/23/2014,-0.086,-0.088,-0.075,-0.120,-14.85%
11/16/2014,-0.101,-0.154,-0.080,-0.154,-19.84%
11/09/2014,-0.126,-0.120,-0.106,-0.164,-6.67%
11/02/2014,-0.135,-0.123,-0.111,-0.149,-1.46%
10/26/2014,-0.137,-0.089,-0.084,-0.155,14.17%
10/19/2014,-0.120,-0.133,-0.105,-0.148,-14.89%
10/12/2014,-0.141,-0.119,-0.057,-0.145,110.45%
10/05/2014,-0.067,-0.073,-0.020,-0.126,-1.47%
09/28/2014,-0.068,-0.073,-0.062,-0.094,21.43%
09/21/2014,-0.056,-0.061,-0.017,-0.108,86.67%
09/14/2014,-0.030,-0.071,-0.018,-0.091,-56.52%
09/07/2014,-0.069,-0.078,-0.063,-0.120,-11.54%
08/31/2014,-0.078,-0.031,-0.015,-0.084,212.00%
08/24/2014,-0.025,0.005,0.009,-0.036,-327.27%
08/17/2014,0.011,0.004,0.011,-0.075,175.00%
08/10/2014,0.004,0.017,0.017,0.004,-80.00%
08/03/2014,0.020,0.026,0.026,-0.073,-16.67%
07/27/2014,0.024,-0.023,0.031,-0.062,-226.32%
07/20/2014,-0.019,-0.010,0.009,-0.044,-5.00%
07/13/2014,-0.020,-0.021,0.015,-0.035,66.67%
07/06/2014,-0.012,-0.026,-0.006,-0.044,-55.56%
06/29/2014,-0.027,-0.008,0.005,-0.046,-10.00%
06/22/2014,-0.030,-0.013,-0.002,-0.041,150.00%
06/15/2014,-0.012,-0.029,0.028,-0.037,-60.00%
06/08/2014,-0.030,0.060,0.060,-0.031,0.00%
06/01/2014,0.000,0.005,0.056,0.005,-100.00%
05/25/2014,0.061,0.060,0.061,0.005,90.62%
05/18/2014,0.032,0.030,0.073,0.030,-50.00%
05/11/2014,0.064,0.074,0.075,0.024,14.29%
05/04/2014,0.056,0.026,0.072,-0.005,124.00%
04/27/2014,0.025,0.065,0.072,-0.005,-68.35%
04/20/2014,0.079,0.048,0.088,0.048,83.72%
04/13/2014,0.043,0.133,0.138,0.017,-67.42%
04/06/2014,0.132,0.127,0.146,0.104,3.94%
03/30/2014,0.127,0.127,0.155,0.116,9.48%
03/23/2014,0.116,0.189,0.190,0.112,-38.62%
03/16/2014,0.189,0.129,0.190,0.118,35.97%
03/09/2014,0.139,0.166,0.166,0.124,-14.72%
03/02/2014,0.163,0.098,0.163,0.073,101.23%
02/23/2014,0.081,0.079,0.101,0.066,2.53%
02/16/2014,0.079,0.103,0.106,0.074,-16.84%
02/09/2014,0.095,0.112,0.116,0.087,-15.18%
02/02/2014,0.112,0.058,0.115,0.057,8.74%
01/26/2014,0.103,0.112,0.122,0.096,-9.65%
01/19/2014,0.114,0.062,0.114,0.062,32.56%
01/12/2014,0.086,0.080,0.103,0.040,-2.27%
01/05/2014,0.088,0.091,0.099,0.075,-2.22%
12/29/2013,0.090,0.122,0.122,0.084,-19.64%
12/22/2013,0.112,0.144,0.170,0.107,-24.32%
12/15/2013,0.148,0.169,0.178,0.064,17.46%
12/08/2013,0.126,0.096,0.126,0.085,20.00%
12/01/2013,0.105,0.080,0.108,0.039,50.00%
11/24/2013,0.070,0.051,0.102,0.041,-29.29%
11/17/2013,0.099,0.027,0.099,0.020,350.00%
