Date,Price,Open,High,Low,Change %,DPB
04-03-2016,0.0970,0.1200,0.1510,0.0810,-33.10%,-3.6701
03/27/2016,0.1450,0.1780,0.1800,0.1230,-18.99%,-3.6701
03/20/2016,0.1790,0.2130,0.2410,0.1590,-17.89%,-1.28148
03/13/2016,0.2180,0.2730,0.3200,0.1980,-22.14%,-7.87183
03-06-2016,0.2800,0.2160,0.3300,0.1600,17.15%,4.27301
02/28/2016,0.2390,0.1380,0.2420,0.1030,63.70%,4.27301
02/21/2016,0.1460,0.2140,0.2290,0.1270,-28.78%,-4.54119
02/14/2016,0.2050,0.2780,0.2990,0.1790,-22.64%,-3.75169
02-07-2016,0.2650,0.2960,0.3020,0.1320,-11.96%,-0.3691
01/31/2016,0.3010,0.3360,0.3620,0.2650,-9.88%,-0.3691
01/24/2016,0.3340,0.4870,0.4930,0.3300,-31.13%,-12.01339
01/17/2016,0.4850,0.4860,0.5250,0.4330,2.62%,-1.15825
01-10-2016,0.4726,0.5140,0.5830,0.4570,-7.19%,-12.15057
01-03-2016,0.5092,0.5970,0.5970,0.4750,-19.76%,2.15262
12/27/2015,0.6346,0.6180,0.6540,0.5530,0.99%,2.15262
12/20/2015,0.6284,0.5620,0.6420,0.5380,14.05%,8.02992999999999
12/13/2015,0.5510,0.5520,0.6830,0.5390,1.44%,2.88852
12-06-2015,0.5432,0.6860,0.6890,0.5290,-21.24%,17.46452
11/29/2015,0.6897,0.4620,0.7420,0.4480,51.48%,17.46452
11/22/2015,0.4553,0.4910,0.5490,0.4370,-5.03%,-4.68823
11/15/2015,0.4794,0.5430,0.5760,0.4690,-14.71%,-8.18195
11-08-2015,0.5621,0.6940,0.7250,0.5530,-19.37%,9.59204
11-01-2015,0.6971,0.5120,0.7020,0.5100,33.29%,2.50467999999999
10/25/2015,0.5230,0.5100,0.5460,0.4240,2.95%,2.50467999999999
10/18/2015,0.5080,0.5520,0.6390,0.4820,-7.47%,-2.54612
10-11-2015,0.5490,0.6140,0.6230,0.5280,-11.59%,6.74088
10-04-2015,0.6210,0.5160,0.6320,0.5120,20.35%,-12.16073
09/27/2015,0.5160,0.6410,0.6500,0.4800,-20.74%,-12.16073
09/20/2015,0.6510,0.6700,0.6960,0.5680,-2.11%,-1.50513
09/13/2015,0.6650,0.6550,0.7960,0.6350,1.06%,0.815950000000001
09-06-2015,0.6580,0.6690,0.7220,0.6490,-0.90%,-3.67887
08/30/2015,0.6640,0.7390,0.8220,0.6620,-8.54%,-3.67887
08/23/2015,0.7260,0.5570,0.7610,0.5120,26.92%,13.55568
08/16/2015,0.5720,0.6470,0.6650,0.5600,-12.94%,-5.44426
08-09-2015,0.6570,0.6610,0.7080,0.5860,-0.15%,0.652070000000005
08-02-2015,0.6580,0.6540,0.7600,0.5970,1.54%,-4.14654
07/26/2015,0.6480,0.6940,0.7370,0.6430,-7.43%,-4.14654
07/19/2015,0.7000,0.7940,0.8130,0.6930,-11.39%,-9.58243
07-12-2015,0.7900,0.8700,0.9710,0.7510,-11.83%,-1.79866
07-05-2015,0.8960,0.7250,0.8990,0.6080,12.85%,-3.6055
06/28/2015,0.7940,0.9170,0.9170,0.7070,-13.88%,-3.6055
06/21/2015,0.9220,0.7930,0.9440,0.7910,21.00%,8.02276
06/14/2015,0.7620,0.8120,0.8450,0.7270,-10.56%,-3.20288
06-07-2015,0.8520,0.8530,1.0590,0.8210,0.35%,30.10383
05/31/2015,0.8490,0.4970,0.9980,0.4730,74.69%,30.10383
05/24/2015,0.4860,0.5890,0.6030,0.4840,-19.40%,-7.44112
05/17/2015,0.6030,0.6510,0.6810,0.5550,-5.63%,-2.62079
05-10-2015,0.6390,0.5340,0.7740,0.5200,17.25%,15.75935
05-03-2015,0.5450,0.3790,0.7960,0.3620,49.73%,16.65988
04/26/2015,0.3640,0.1440,0.3860,0.1340,130.38%,16.65988
04/19/2015,0.1580,0.0710,0.1820,0.0630,100.00%,5.44177
04-12-2015,0.0790,0.1540,0.1710,0.0490,-49.36%,-1.94705
04-05-2015,0.1560,0.1830,0.1970,0.1400,-14.75%,-1.82043
03/29/2015,0.1830,0.2060,0.2180,0.1520,-12.44%,-1.82043
03/22/2015,0.2090,0.1800,0.2400,0.1710,12.97%,4.45646
03/15/2015,0.1850,0.2510,0.2940,0.1680,-28.57%,-5.67558
03-08-2015,0.2590,0.3970,0.3980,0.1870,-35.25%,6.89893
03-01-2015,0.4000,0.3260,0.4290,0.3140,23.46%,-5.40884
02/22/2015,0.3240,0.3850,0.3950,0.2840,-12.90%,-5.40884
02/15/2015,0.3720,0.3520,0.4090,0.3170,6.59%,4.10465
02-08-2015,0.3490,0.3710,0.4010,0.3180,-6.68%,6.46249
02-01-2015,0.3740,0.3160,0.3910,0.2990,19.49%,2.20507
01/25/2015,0.3130,0.3540,0.4240,0.3060,-14.48%,2.20507
01/18/2015,0.3660,0.4600,0.5840,0.3460,-20.09%,-13.17084
01-11-2015,0.4580,0.4930,0.5130,0.4020,-4.98%,-4.965855
01-04-2015,0.4820,0.4990,0.5270,0.4320,-3.21%,-8.752755
12/28/2014,0.4980,0.5940,0.6010,0.4930,-16.30%,-8.752755
12/21/2014,0.5950,0.5960,0.6130,0.5820,0.17%,-0.90481
12/14/2014,0.5940,0.6320,0.6500,0.5660,-5.11%,-0.0995199999999977
12-07-2014,0.6260,0.7770,0.7890,0.6180,-20.05%,4.49412
11/30/2014,0.7830,0.6940,0.7900,0.6910,11.54%,4.49412
11/23/2014,0.7020,0.7730,0.7900,0.6950,-8.95%,-10.5763
11/16/2014,0.7710,0.7740,0.8550,0.7660,-2.53%,-3.98834
11-09-2014,0.7910,0.8210,0.8530,0.7830,-4.12%,-1.50493
11-02-2014,0.8250,0.8300,0.8650,0.8020,-1.90%,-3.31485
10/26/2014,0.8410,0.8970,0.9130,0.8320,-5.29%,-3.31485
10/19/2014,0.8880,0.8580,0.9000,0.8230,2.66%,0.836719999999999
10-12-2014,0.8650,0.8650,0.9040,0.7160,-3.14%,-7.49551
10-05-2014,0.8930,0.9220,0.9290,0.8590,-4.18%,-1.86078000000001
09/28/2014,0.9320,0.9680,0.9890,0.8970,-3.72%,-1.86078000000001
09/21/2014,0.9680,1.0200,1.0390,0.9500,-7.28%,-7.97773
09/14/2014,1.0440,1.0860,1.1130,1.0310,-3.87%,-0.62029
09-07-2014,1.0860,0.9420,1.0990,0.9180,16.27%,3.07929999999999
08/31/2014,0.9340,0.8920,0.9830,0.8800,5.18%,3.07929999999999
08/24/2014,0.8880,0.9920,0.9920,0.8680,-10.03%,-10.22907
08/17/2014,0.9870,0.9900,1.0220,0.9640,1.96%,-0.260109999999992
08-10-2014,0.9680,1.0740,1.0870,0.9600,-8.07%,-6.770845
